var_id,var_name,var_desc,var_year
C0000100,CPUBID,ID CODE OF CHILD,XRND
C0000200,MPUBID,ID CODE OF MOTHER OF CHILD,XRND
C0005300,CRACE,RACE OF CHILD (MOTHER'S RACIAL/ETHNIC COHORT FROM SCREENER),XRND
C0005400,CSEX,SEX OF CHILD,XRND
C0005500,CMOB,DATE OF BIRTH OF CHILD - MONTH,XRND
C0005700,CYRB,DATE OF BIRTH OF CHILD - YEAR,XRND
C0007000,MAGEBIR,AGE OF MOTHER AT BIRTH OF CHILD,XRND
C0320000,PRE0008,MOTHER VISIT MEDICAL PERSON FOR PRENATAL CARE?,XRND
C0320100,PRE0009,MONTH OF PREGNANCY OF 1ST PRENATAL CARE VISIT,XRND
C0327700,PRE0084,WEIGHT OF MOTHER JUST BEFORE DELIVERY OF CHILD,XRND
C0327800,PRE0085,WEIGHT OF MOTHER JUST BEFORE PREGNANCY,XRND
C0327900,PRE0086,WEIGHT CHANGE OF MOTHER DURING PREGNANCY: POUNDS,XRND
C0327910,PRE0089,WEIGHT CHANGE DURING PREGNANCY A GAIN OR LOSS?,XRND
C0328000,PST0002,LENGTH OF GESTATION OF CHILD IN WEEKS,XRND
C0328600,PST0009,WEIGHT OF CHILD AT BIRTH IN OUNCES,XRND
C0328700,PST0010,BIRTH WEIGHT OF CHILD 5.5 POUNDS OR LESS?,XRND
C0547200,MS860249,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SQUIRMS AND KICKS DURING FEEDING,1986
C0547300,MS860250,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAVES ARMS DURING FEEDING,1986
C0547400,MS860251,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD MOVES AROUND IN CRIB,1986
C0547500,MS860252,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS SLEEPY AT SAME TIME,1986
C0547600,MS860253,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS HUNGRY AT SAME TIME,1986
C0547700,MS860254,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAKES IN THE SAME MOOD,1986
C0547800,MS860255,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES, TURNS AWAY FROM STRANGERS",1986
C0547900,MS860256,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD ACTS AFRAID AROUND STRANGE DOGS/CATS,1986
C0548000,MS860257,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1986
C0548100,MS860258,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AROUND DOCTOR, NURSE, DENTIST",1986
C0548200,MS860259,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN MOM PLAYS,1986
C0548300,MS860260,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN PLAYING ALONE,1986
C0548400,MS860261,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS IN THE BATH,1986
C0548500,MS860262,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AT UNEXPECTED SOUNDS,1986
C0548600,MS860263,TEMPERAMENT (0-11 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1986
C0548700,MS860264,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS FUSSY AND IRRITABLE,1986
