"CPUBID","MPUBID","CSEX","CMOB","CYRB","CMODEATH","CYRDEATH","BTHORDR","MAGEBIR","PST0002","PST0009","PST0121","CCR0001","CCR0009"
201,2,2,3,1993,-7,-7,1,34,39,139,-3,0,0
202,2,2,11,1994,-7,-7,2,35,-3,-3,1,0,-7
301,3,2,6,1981,-7,-7,1,19,40,162,0,0,-7
302,3,2,10,1983,-7,-7,2,22,41,144,1,0,-7
303,3,2,4,1986,-7,-7,3,24,37,112,1,0,-7
401,4,1,8,1980,-7,-7,1,18,41,107,1,0,-7
403,4,2,3,1997,-7,-7,2,34,-3,-3,1,1,-7
801,8,2,3,1976,-7,-7,1,17,39,119,1,0,-7
802,8,1,5,1979,-7,-7,2,20,39,107,1,0,-7
803,8,2,9,1982,-7,-7,3,24,39,146,1,-7,-7
1001,10,2,1,1983,-7,-7,1,22,42,136,0,1,9
1002,10,2,7,1988,-7,-7,2,27,39,-3,-3,0,-7
1201,12,1,10,1989,-7,-7,1,30,39,109,-3,0,-7
1202,12,1,8,1993,-7,-7,2,33,39,115,-3,0,-7
1601,16,1,2,1990,-7,-7,1,31,37,109,1,1,-7
1602,16,1,8,1993,-7,-7,2,34,39,124,1,-7,-7
1603,16,2,9,1996,-7,-7,3,37,-3,120,0,0,-7
1901,19,2,11,1987,-7,-7,1,29,35,96,1,0,-7
2001,20,2,8,1990,-7,-7,1,30,40,129,0,1,-7
2501,25,1,10,1990,-7,-7,1,30,39,135,1,1,-7
2502,25,2,8,1993,-7,-7,2,33,-3,-3,0,-7,-7
2701,27,2,2,1988,-7,-7,1,27,39,117,1,0,-7
2702,27,1,1,1992,-7,-7,2,31,41,136,1,0,-7
3001,30,1,12,1982,-7,-7,1,24,39,104,1,1,-7
3002,30,1,3,1987,-7,-7,2,28,39,-3,1,1,6
3003,30,1,10,1991,-7,-7,3,32,39,136,1,0,-7
3501,35,2,5,1990,-7,-7,1,26,39,135,0,0,-7
3502,35,2,6,1993,-7,-7,2,29,39,139,-3,0,-7
3701,37,2,4,1990,-7,-7,1,31,39,116,1,0,-7
4301,43,2,10,1982,-7,-7,1,21,39,98,0,0,-7
4302,43,2,2,1989,-7,-7,2,27,39,98,0,0,-7
4303,43,2,2,1997,-7,-7,3,35,39,98,0,1,-7
4304,43,2,4,2000,-7,-7,4,38,-3,-3,0,0,-7
4401,44,2,9,1981,-7,-7,1,20,39,103,0,0,-7
4402,44,2,7,1985,-7,-7,2,24,41,107,0,0,-7
4601,46,2,4,1994,-7,-7,1,31,36,102,1,0,-7
4602,46,2,7,1997,-7,-7,2,34,39,114,1,0,-7
4901,49,1,12,1982,-7,-7,1,24,41,139,1,1,-7
4902,49,1,3,1987,-7,-7,2,28,39,119,1,1,10
5001,50,1,7,1985,-7,-7,1,26,39,130,1,1,10
5002,50,1,7,1988,-7,-7,2,29,39,119,0,0,-7
5003,50,1,6,1990,6,1990,4,31,22,17,0,-7,-7
5004,50,1,6,1990,6,1990,3,31,-3,-3,-3,-7,-7
5005,50,2,11,1992,-7,-7,5,34,36,111,-3,0,-7
5701,57,1,7,1979,-7,-7,1,21,42,148,1,0,-7
5702,57,1,10,1995,-7,-7,2,37,-3,-3,1,-7,-7
5703,57,2,2,1998,-7,-7,3,39,37,134,1,0,-7
5801,58,2,7,1981,-7,-7,1,24,36,97,0,1,-7
5802,58,2,3,1984,-7,-7,2,27,39,130,0,1,-7
5803,58,1,11,1988,-7,-7,3,31,39,118,0,1,-7
6101,61,2,3,1993,-7,-7,1,30,36,110,1,1,-7
