"CPUBID","MPUBID","MOMHH1979","DADHH1979","MOMHH1980","DADHH1980","MOMHH1981","DADHH1981","MOMHH1982","DADHH1982","MOMHH1983","DADHH1983","MOMHH1984","DADHH1984","MOMHH1985","DADHH1985","MOMHH1986","DADHH1986","MOMHH1987","DADHH1987","MOMHH1988","DADHH1988","MOMHH1989","DADHH1989","MOMHH1990","DADHH1990","MOMHH1991","DADHH1991","MOMHH1992","DADHH1992","MOMHH1993","DADHH1993","MOMHH1994","DADHH1994","MOMHH1996","DADHH1996","MOMHH1998","DADHH1998","MOMHH2000","DADHH2000","MOMHH2002","DADHH2002","MOMHH2004","DADHH2004","MOMHH2006","DADHH2006","MOMHH2008","DADHH2008","MOMHH2010","DADHH2010","MOMHH2012","DADHH2012","MOMHH2014","DADHH2014"
201,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
301,3,1,1,0,0,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-7,-7,0,0,0,0,-7,-7,0,0,0,0
302,3,1,1,0,0,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-7,-7,0,0,0,0,-7,-7,0,0,0,0
303,3,1,1,0,0,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-7,-7,0,0,0,0,-7,-7,0,0,0,0
401,4,1,1,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,0,0,0,0,-7,-7,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
403,4,1,1,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,0,0,0,0,-7,-7,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
801,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,10,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-7,-7,-7,-7,0,0,-7,-7,1,1,1,1,1,1,1,1,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1002,10,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-7,-7,-7,-7,0,0,-7,-7,1,1,1,1,1,1,1,1,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1201,12,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1202,12,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
