"VERSION_R26","CASEID","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS"
-5,1,5,3,2,0,-5,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,-3,0,0,0,0,1,1,1,0,0
458,3,5,3,2,0,0,-5,0,0,1,0,0,0,0,0,0,0,1,-3,0,0,0,0,-3,-5,0,-3,-5,0,0
-5,4,5,3,2,0,-5,0,0,1,1,1,0,-3,0,0,1,-5,0,0,-5,-3,0,-5,-5,-5,-5,-5,-5,-5,-5
-5,5,1,3,1,0,0,0,0,0,-3,-5,0,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0
-5,7,1,3,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,-3,0,0,0,-5,-5
458,8,6,3,2,0,0,0,0,0,0,-3,-3,0,-3,0,0,0,0,0,0,0,-3,-3,0,0,0,-3,0,0,0
458,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0
-5,10,6,3,2,1,-3,0,0,0,0,0,-5,-5,0,-5,-3,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,11,1,3,1,0,-5,0,0,0,-3,0,-5,-5,-5,0,0,0,0,0,0,0,0,0,0,-3,-5,-5,-5,-5,-5
-5,12,5,3,2,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,13,1,3,1,0,-3,0,0,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,-3,-3,-3,0,-5,-5,-5,-5
458,14,5,3,2,-3,-3,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,16,5,3,2,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0
458,18,1,3,1,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,19,5,3,2,0,0,0,-3,-5,-3,0,-3,1,0,1,1,0,1,1,1,-5,1,-5,-5,-5,-3,-5,-3,-5,-5
458,20,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0
458,21,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-3,0,0,0,-3,0,0,0
458,22,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0
-5,23,1,3,1,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-3,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,24,1,3,1,0,0,0,0,0,-5,0,0,0,0,0,0,-5,0,0,0,-3,0,-5,-5,-5,-5,-5,-5,-5,-5
458,25,5,3,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,26,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,0,0,-5
458,27,5,3,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,28,5,3,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0,-5,-5
458,29,5,3,2,0,-3,0,0,0,0,0,0,0,-3,0,0,0,-3,-3,-3,-3,0,0,0,0,0,0,0,0,-3
458,30,5,3,2,0,0,0,0,-5,-3,0,-3,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1
458,31,4,1,1,1,1,-3,-3,1,0,-3,0,0,0,-3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0
-5,32,8,1,2,0,-5,-3,0,0,0,0,0,0,0,-3,-5,-5,-3,0,0,0,-5,-5,-5,-3,0,-5,0,-5,-5
458,33,4,1,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-3,-3,-3,-3,-5,-5,-5,-5,0,1,0,1,1
458,34,1,3,1,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3
-5,35,5,3,2,0,0,0,-3,-3,-3,-3,-3,-3,0,-3,0,0,0,-3,0,-3,0,-5,-5,-5,-5,-5,-5,-5,-5
458,36,1,3,1,0,0,-3,1,0,0,0,-5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-3,0,0
458,37,5,3,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,38,5,3,2,0,-3,0,-3,-3,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,39,1,3,1,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,-3,0,-3,0,0,0
458,40,2,3,1,0,-3,-3,0,-3,0,0,-3,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0
458,41,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-5,0,0,0,0,0,0,0,0
458,42,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,43,6,3,2,-3,1,-3,0,-3,-3,-3,-3,1,-3,1,1,1,-3,0,1,0,1,1,1,1,1,1,1,1,1
458,44,5,3,2,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-3,0,0,-3,-3,-3,0,-3,0
-5,45,1,3,1,0,0,0,0,0,-3,0,0,0,0,-3,0,0,0,0,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,46,5,3,2,0,0,0,-3,-3,-3,0,-3,0,0,0,-3,-3,0,-3,-3,-3,0,-3,-3,0,0,-3,-5,-5,-5
458,47,1,3,1,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
